"MyUnknownColumn","Mat","Inns","Balls","Runs","Wkts","BBI","Ave","Econ","SR","4","5","start","end","name","country"
691,17,17,700,586,15,"5/67",39.06,5.02,46.6,0,1,2001,2003,"TCB Fernando","SL"
692,19,19,1033,708,15,"3/40",47.2,4.11,68.8,0,0,1975,1981,"KD Ghavri","INDIA"
693,6,6,319,222,15,"4/24",14.8,4.17,21.2,2,0,2018,2019,"S Lamichhane","NEPAL"
694,17,17,859,681,15,"3/32",45.4,4.75,57.2,0,0,1998,2001,"NC McGarrell","WI"
695,16,16,857,626,15,"6/39",41.73,4.38,57.1,0,1,1983,1987,"KH MacLeay","AUS"
696,9,9,456,405,15,"3/31",27.0,5.32,30.4,0,0,2006,2008,"GH O'Brien","BMUDA"
697,18,18,765,720,15,"3/37",48.0,5.64,51.0,0,0,2015,2017,"SS Pathirana","SL"
698,45,20,864,589,15,"2/28",39.26,4.09,57.6,0,0,1980,1986,"SM Patil","INDIA"
699,43,19,539,459,15,"4/16",30.6,5.1,35.9,1,0,2003,2006,"Rajin Saleh","BDESH"
700,31,29,1140,875,15,"3/41",58.33,4.6,76.0,0,0,1988,1993,"AK Sharma","INDIA"
701,16,16,756,538,15,"3/35",35.86,4.26,50.4,0,0,1985,1987,"L Sivaramakrishnan","INDIA"
702,15,15,784,705,15,"4/32",47.0,5.39,52.2,1,0,2005,2011,"CT Tremlett","ENG"
703,18,17,696,524,15,"4/33",34.93,4.51,46.4,1,0,1992,1996,"JTC Vaughan","NZ"
704,10,9,457,433,15,"5/66",28.86,5.68,30.4,0,1,2009,2010,"UWMBCA Welegedara","SL"
705,50,37,1038,884,15,"2/34",58.93,5.1,69.2,0,0,2007,2014,"LJ Wright","ENG"
706,17,15,588,569,14,"3/30",40.64,5.8,42.0,0,0,1997,2003,"JO Angara","KENYA"
707,18,7,337,167,14,"3/22",11.92,2.97,24.0,0,0,2014,2018,"Anshuman Rath","HKG"
708,59,35,748,719,14,"3/19",51.35,5.76,53.4,0,0,2013,2018,"F Behardien","SA"
709,20,17,624,526,14,"3/32",37.57,5.05,44.5,0,0,2003,2010,"DE Bernard","WI"
710,32,24,749,646,14,"2/6",46.14,5.17,53.5,0,0,1995,1999,"GS Blewett","AUS"
711,268,28,740,636,14,"3/18",45.42,5.15,52.8,0,0,1994,2011,"S Chanderpaul","WI"
712,9,8,409,248,14,"5/18",17.71,3.63,29.2,0,1,1975,1979,"GJ Cosier","AUS"
713,27,23,840,666,14,"2/5",47.57,4.75,60.0,0,0,2006,2007,"JWM Dalrymple","ENG"
714,10,10,576,422,14,"3/16",30.14,4.39,41.1,0,0,2005,2009,"Enamul Haque jnr","BDESH"
715,35,25,954,709,14,"4/57",50.64,4.45,68.1,1,0,1992,1999,"UC Hathurusingha","SL"
716,8,7,306,211,14,"4/32",15.07,4.13,21.8,1,0,1982,1983,"Jalal-ud-Din","PAK"
717,10,10,389,371,14,"3/36",26.5,5.72,27.7,0,0,2006,2009,"SKW Kelly","BMUDA"
718,57,21,640,571,14,"3/31",40.78,5.35,45.7,0,0,2001,2007,"D Mongia","INDIA"
719,35,33,902,787,14,"3/13",56.21,5.23,64.4,0,0,2016,2019,"Mosaddek Hossain","BDESH"
720,13,13,613,495,14,"3/40",35.35,4.84,43.7,0,0,2017,2019,"A Nao","PNG"
721,19,19,730,649,14,"4/25",46.35,5.33,52.1,1,0,2006,2010,"JD Nel","SCOT"
722,10,10,453,488,14,"3/68",34.85,6.46,32.3,0,0,2008,2009,"IE O'Brien","NZ"
